admin,last_name,first_name,group,email,password
123456,Jackson,Alfie,Maple,student1@school.com,qwerty123456
123467,Fletcher,Ella,Maple,student12@school.com,example5678
123463,Clarke,Emily,Maple,student8@school.com,abc123def
123469,Turner,Evie,Maple,student14@school.com,change99
123473,Howarth,Grace,Maple,student18@school.com,access22
123471,Booth,Isla,Maple,student16@school.com,open8765
123461,Hughes,Lily,Maple,student6@school.com,vzcncR8Mp
123459,Walker,Maisie,Maple,student4@school.com,secure2026
123475,Sykes,Millie,Maple,student20@school.com,entry890
123457,Robinson,Poppy,Maple,student2@school.com,bright.treat279
123465,Dawson,Ruby,Maple,student10@school.com,pass9876
123460,Harrison,Charlie,Oak,student5@school.com,welcome123
123464,Greenwood,George,Oak,student9@school.com,test1234
123458,Thompson,Harry,Oak,student3@school.com,password789
123466,Barker,Jack,Oak,student11@school.com,letmein22
123474,Rowley,Joshua,Oak,student19@school.com,login567
123468,Bailey,Noah,Oak,student13@school.com,key12345
123462,Shaw,Oliver,Oak,student7@school.com,fair.rose.spring
123470,Whitehouse,Thomas,Oak,student15@school.com,temp4321
123472,Marshall,William,Oak,student17@school.com,start111
